ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity

[pop]
5mPSyjLatqB00IkPqRlbTE, 0.718, 0.458, 4, -10.024, 0, 0.117, 3.43e-06, 0.105, 0.0514, 132.998, 212947, 4, 66
77UjLW8j5UAGAGVGhR5oUK, 0.735, 0.677, 2, -4.979, 1, 0.093, 2.17e-05, 0.111, 0.188, 100.584, 211440, 4, 81
4kflIGfjdZJW4ot2ioixTB, 0.559, 0.33, 9, -8.251, 1, 0.0285, 0, 0.0975, 0.285, 135.109, 285040, 4, 79
5uQOauh47VFt3B2kV9kRXw, 0.812, 0.621, 5, -8.3, 1, 0.0515, 0, 0.099, 0.847, 77.998, 128157, 4, 74
6gFPdkLitG8mpiWKKZ3lgE, 0.608, 0.798, 6, -5.092, 0, 0.0432, 0, 0.156, 0.501, 92.943, 185352, 4, 57
3Txcx4jhuiTZSvhAL0WaRc, 0.678, 0.414, 9, -10.144, 0, 0.0498, 3.78e-06, 0.0885, 0.355, 130.031, 243133, 4, 66
2aksifNn5ph8igDOkPBA02, 0.509, 0.637, 4, -4.83, 0, 0.0471, 1.08e-05, 0.0789, 0.378, 172.006, 224000, 3, 74
4pdgV8qr9Oytcv6thCdiIZ, 0.848, 0.663, 8, -5.606, 0, 0.245, 0, 0.108, 0.333, 133.993, 255413, 4, 61
1nX9KhK3Fff27SnrIor2Yb, 0.796, 0.5, 1, -7.21, 1, 0.425, 0, 0.155, 0.227, 75.012, 255560, 4, 73
6JvHYmanlC8FdbeiCztcrR, 0.865, 0.718, 8, -3.882, 1, 0.204, 7.62e-05, 0.264, 0.476, 153.548, 237655, 4, 55
32OlwWuMpZ6b0aN2RZOeMS, 0.856, 0.609, 0, -7.223, 1, 0.0824, 8.15e-05, 0.0344, 0.928, 114.988, 269667, 4, 82
7EiZI6JVHllARrX9PUvAdX, 0.722, 0.331, 8, -7.789, 1, 0.0725, 0.283, 0.146, 0.102, 143.974, 313547, 4, 77
0Zx8khUcEfCFK2AEoIhC92, 0.657, 0.703, 1, -3.402, 1, 0.0753, 0, 0.256, 0.338, 122.381, 214693, 4, 72
7GJClzimvMSghjcrKxuf1M, 0.714, 0.451, 5, -8.268, 1, 0.0276, 0, 0.108, 0.406, 127.787, 200720, 4, 79
32lItqlMi4LBhb4k0BaSaC, 0.67, 0.654, 4, -5.944, 1, 0.153, 1.02e-06, 0.071, 0.438, 180.024, 227533, 4, 85
5tbJvz7EzXc9Z8odKvfvJm, 0.415, 0.11, 1, -14.901, 1, 0.0388, 0.00236, 0.0962, 0.234, 81.876, 240147, 4, 25
1UZOjK1BwmwWU14Erba9CZ, 0.573, 0.781, 8, -6.406, 1, 0.0555, 2.64e-05, 0.0813, 0.343, 139.934, 231907, 4, 80
3Vo4wInECJQuz9BIBMOu8i, 0.704, 0.859, 5, -4.877, 0, 0.0996, 0, 0.0215, 0.926, 105.115, 217289, 4, 84
5wUUWVRvrciJqFitZF8R0P, 0.643, 0.541, 2, -5.801, 1, 0.0426, 0, 0.102, 0.165, 119.501, 311197, 4, 69
3BtuIIrQlkujKPuWF2B85z, 0.82, 0.641, 4, -7.811, 0, 0.116, 5.07e-05, 0.102, 0.395, 117.974, 263373, 4, 76
5nN8BwAQDJDguq7Dpd3JQQ, 0.813, 0.453, 1, -6.941, 1, 0.338, 0, 0.14, 0.191, 161.997, 208027, 4, 68
